what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401235645442
error,log,,,"ERROR [2014-05-28 09:07:34,469] (ProjectPackageList.java:generateComponents:473) - Filepath-zip mapping is null or empty for package 'Salesforce Connected Apps' [0A310000000PiCaCAK] - skipping component generation\r\n",1401235654472
error,log,,,"ERROR [2014-05-28 09:07:34,558] (ProjectPackageList.java:generateComponents:473) - Filepath-zip mapping is null or empty for package 'Salesforce1 and Chatter Apps' [0A310000000PoFtCAK] - skipping component generation\r\n",1401235654561
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1401235660991
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1401235661102
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401235661127
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1401235678961
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1401235679124
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401235703675
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1401235723633
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401235786182
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1401235805626
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1401235808399
closed,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1401235809736
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401235812757
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401235816995
opened,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1401235817187
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1401235817420
started,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1401235840526
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1401235840538
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401235869761
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1401235869793
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401235875020
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1401235896183
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401235897356
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1401235897395
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401235909353
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1401235911893
