what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1391757528715
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1391757528715
java.specification.version,sysinfo,,,"1.6",1391757528715
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1391757528715
java.version,sysinfo,,,"1.6.0_45",1391757528715
java.vm.info,sysinfo,,,"mixed mode",1391757528715
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1391757528715
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1391757528715
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1391757528715
java.vm.specification.version,sysinfo,,,"1.0",1391757528715
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1391757528715
java.vm.version,sysinfo,,,"20.45-b01",1391757528715
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391757528747
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1391757531066
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1391757532152
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1391757536983
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1391757537248
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1391757537405
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1391758513236
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1391758513564
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1391758513642
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1391758528334
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391758532727
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391758594544
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391758611694
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391758825221
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391758832947
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391758838174
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1391758841169
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1391758845537
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391758859443
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391758934627
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391758937566
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391760212970
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391760215561
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391760216750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391760219192
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391760599700
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391760602325
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391760842445
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1391760862461
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1391760862732
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1391760862800
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1391760921490
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391760933205
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391760959666
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1391760962832
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391761132305
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391761399753
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391761400980
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391766523649
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391766526196
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391766528009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391766528040
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391766553744
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1391766553963
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1391766554760
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1391766554869
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1391766554885
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1391766554900
activated,perspective,com.salesforce.ide.ui,,"com.salesforce.ide.perspective",1392345432439
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1392345432441
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1392345432442
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1392345432443
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1392345432445
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1392345432446
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1392345432447
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1392345432448
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1392345432449
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1392345432468
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1392345432470
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1392345432471
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1392345432472
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1392345432474
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1392345432475
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1392345432476
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1392345432476
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1392345432477
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1392345432480
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1392345432481
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1392345432483
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1392345432484
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1392345432485
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1392345432486
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1392345432487
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1392345432488
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1392345432489
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1392345432490
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1392345432491
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1392345432492
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1392345432493
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1392345432494
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1392345432835
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1392345432837
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1392345432838
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1392345432839
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1392345432840
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1392345432841
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1392345432842
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1392345432843
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1392345432848
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1392345432851
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1392345432852
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1392345432856
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1392345432857
