what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1398842322446
started,bundle,com.salesforce.ide.api,28.0.1.201309101331,"com.salesforce.ide.api",1398842322447
started,bundle,com.salesforce.ide.core,28.0.1.201309101331,"com.salesforce.ide.core",1398842322447
started,bundle,com.salesforce.ide.core.compatibility,28.0.1.201309101331,"com.salesforce.ide.core.compatibility",1398842322449
started,bundle,com.salesforce.ide.core.compatibility.auth.platformdb,28.0.1.201309101331,"com.salesforce.ide.core.compatibility.auth.platformdb",1398842322450
started,bundle,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui",1398842322450
started,bundle,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors",1398842322450
started,bundle,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1398842322450
started,bundle,com.salesforce.ide.upgrade,28.0.1.201309101331,"com.salesforce.ide.upgrade",1398842322451
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1398842322451
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1398842322452
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1398842322453
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1398842322454
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1398842322454
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1398842322456
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1398842322457
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1398842322458
os,sysinfo,,,"win32",1398842322462
arch,sysinfo,,,"x86_64",1398842322462
ws,sysinfo,,,"win32",1398842322462
locale,sysinfo,,,"ja_JP",1398842322462
processors,sysinfo,,,"4",1398842322463
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1398842322463
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1398842322463
java.specification.name,sysinfo,,,"Java Platform API Specification",1398842322463
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1398842322463
java.specification.version,sysinfo,,,"1.6",1398842322463
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1398842322463
java.version,sysinfo,,,"1.6.0_45",1398842322463
java.vm.info,sysinfo,,,"mixed mode",1398842322463
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1398842322463
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1398842322463
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1398842322463
java.vm.specification.version,sysinfo,,,"1.0",1398842322463
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1398842322463
java.vm.version,sysinfo,,,"20.45-b01",1398842322463
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1398842322677
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1398842329108
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1398842331784
started,bundle,hr.multimodus.apexeditorls,1.1.2,"hr.multimodus.apexeditorls",1398842331858
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1398842334119
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1398842337029
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1398842337466
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398842344886
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398842346478
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398842347347
error,log,,,"ERROR [2014-04-30 16:19:17,091] (ProjectPackageList.java:generateComponents:473) - Filepath-zip mapping is null or empty for package 'Salesforce Connected Apps' [0A310000000PiCaCAK] - skipping component generation\r\n",1398842357135
error,log,,,"ERROR [2014-04-30 16:19:17,220] (ProjectPackageList.java:generateComponents:473) - Filepath-zip mapping is null or empty for package 'Salesforce1 and Chatter Apps' [0A310000000PoFtCAK] - skipping component generation\r\n",1398842357223
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1398842363383
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1398842364982
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1398842365057
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398842365076
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1398842366758
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1398842379457
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1398842379501
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1398842382179
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398842383849
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398842384872
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1398842388819
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398842392265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398842397109
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1398842401084
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398842412827
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398842494680
