what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1388133839374
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388133852907
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388133877001
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388133883448
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388133896230
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388133906985
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388133913962
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388133937711
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388133941722
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1388133951591
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388133953342
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1388133958978
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388133960272
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388133982449
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388133983913
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134012882
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134023936
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1388134026030
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1388134026200
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134030911
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134035750
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134039313
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134044506
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134047675
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134051400
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134056642
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134061395
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134062861
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1388134065467
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134065714
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134065935
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134066026
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134066214
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134066365
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134066506
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1388134073163
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134075736
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1388134077409
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1388134077617
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1388134077783
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1388134077950
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1388134078095
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1388134080440
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134083554
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134091560
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134094248
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134099951
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134105736
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134108784
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1388134118731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134121718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134126145
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134129033
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134132128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134137376
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134140608
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1388134144060
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1388134145097
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134147614
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134149903
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134151313
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134155080
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1388134158617
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134158936
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134159135
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134159282
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134159433
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134159513
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134159688
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134159823
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134159985
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134161401
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134168332
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134172384
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134174948
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134181391
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134185118
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1388134206883
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134217720
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1388134238630
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134238893
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134239509
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1388134242918
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1388134256633
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134256839
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134259437
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1388134261933
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134281949
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1388134285446
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1388134290896
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134292859
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1388134301697
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134303037
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1388134313415
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134324153
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1388134343907
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134349979
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1388134361350
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1388134368157
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1388134372658
