what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1402554073283
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1402554073303
started,bundle,com.salesforce.ide.api,28.0.1.201309101331,"com.salesforce.ide.api",1402554073304
started,bundle,com.salesforce.ide.core,28.0.1.201309101331,"com.salesforce.ide.core",1402554073304
started,bundle,com.salesforce.ide.core.compatibility,28.0.1.201309101331,"com.salesforce.ide.core.compatibility",1402554073305
started,bundle,com.salesforce.ide.core.compatibility.auth.platformdb,28.0.1.201309101331,"com.salesforce.ide.core.compatibility.auth.platformdb",1402554073306
started,bundle,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.ui",1402554073306
started,bundle,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors",1402554073306
started,bundle,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1402554073307
started,bundle,com.salesforce.ide.upgrade,28.0.1.201309101331,"com.salesforce.ide.upgrade",1402554073307
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1402554073308
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1402554073309
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1402554073310
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1402554073311
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1402554073311
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1402554073322
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1402554073325
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1402554073327
os,sysinfo,,,"win32",1402554073331
arch,sysinfo,,,"x86_64",1402554073331
ws,sysinfo,,,"win32",1402554073331
locale,sysinfo,,,"ja_JP",1402554073331
processors,sysinfo,,,"4",1402554073331
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1402554073331
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1402554073331
java.specification.name,sysinfo,,,"Java Platform API Specification",1402554073332
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1402554073332
java.specification.version,sysinfo,,,"1.6",1402554073332
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1402554073332
java.version,sysinfo,,,"1.6.0_45",1402554073332
java.vm.info,sysinfo,,,"mixed mode",1402554073332
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1402554073332
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1402554073332
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1402554073332
java.vm.specification.version,sysinfo,,,"1.0",1402554073332
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1402554073332
java.vm.version,sysinfo,,,"20.45-b01",1402554073332
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402554074379
started,bundle,hr.multimodus.apexeditorls,1.1.2,"hr.multimodus.apexeditorls",1402554082631
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402554084638
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402554086563
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402554089020
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1402554104540
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402554115302
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402554156057
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402554188252
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402554188538
error,log,,,"ERROR [2014-06-12 15:23:34,509] (ProjectPackageList.java:generateComponents:473) - Filepath-zip mapping is null or empty for package 'Salesforce Connected Apps' [0A310000000PiCaCAK] - skipping component generation\r\n",1402554214512
