what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1392629164194
opened,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1392629178974
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1392629179343
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1392629187201
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1392629189095
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1392629191984
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1392629203140
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1392629205197
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1392629211195
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1392629213419
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1392629216984
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1392629224250
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1392629227211
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1392629234151
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392629239093
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1392629239120
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1392629239672
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392629240841
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1392629242530
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392629243166
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1392629243791
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392629259222
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392629262915
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392629269472
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1392629272235
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1392629275078
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1392629278422
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392629316044
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392629316178
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1392629325362
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1392629343335
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392629361284
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392629364621
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392629365910
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392629369133
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392629370388
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1392629392840
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1392629409819
