what,kind,bundleId,bundleVersion,description,time
started,bundle,com.salesforce.ide.deployment,28.0.1.201309101331,"com.salesforce.ide.deployment",1402642910502
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402642913493
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402642917561
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402642917783
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643168249
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643173682
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402643194034
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643230827
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643231137
error,log,,,"ERROR [2014-06-13 16:14:58,775] (ProjectPackageList.java:generateComponents:473) - Filepath-zip mapping is null or empty for package 'Salesforce Connected Apps' [0A310000000PiCaCAK] - skipping component generation\r\n",1402643698779
error,log,,,"ERROR [2014-06-13 16:14:58,888] (ProjectPackageList.java:generateComponents:473) - Filepath-zip mapping is null or empty for package 'Salesforce1 and Chatter Apps' [0A310000000PoFtCAK] - skipping component generation\r\n",1402643698892
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1402643708067
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1402643709580
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643710137
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1402643710150
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643710170
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643750821
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1402643761960
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1402643762054
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1402643769123
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1402643769149
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1402643770374
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1402643770409
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1402643780635
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643785850
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643804480
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643806202
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1402643806239
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402643806510
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643815987
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643823118
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643827829
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643830305
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1402643830342
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1402643953761
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643975681
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402643984611
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402644342949
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1402644347510
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402644352504
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1402644352540
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402644477063
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402644562327
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402644912826
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402644913937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402645151087
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402645152565
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402645380716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402645382500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402645683450
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402645684648
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1402645796439
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1402645801999
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1402645804393
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1402645809088
