what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398907481322
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1398907481769
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398907488363
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1398907503830
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398907506488
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398907552819
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1398907554721
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398907555027
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1398907562701
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398907565775
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398907678771
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1398907678791
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398907684822
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398907704029
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398911763441
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398911767391
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398911781344
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398911792876
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398911859220
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398940898040
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1398940902922
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398940912297
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1398940912317
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398940929157
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1398940936561
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1398940937628
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1398940938308
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1398940940711
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398940947491
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398940962506
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1398940984273
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1398940984482
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1398940984646
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1398940984880
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1398940985065
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1398940985235
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1398940985402
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1398940985570
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1398940985734
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1398940985899
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1398940986111
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398941001430
